#question; answer; questionLocale; answerLocale
ahol ;waar ;hu;nl
alak ;vorm ;hu;nl
alszik ;slapen ;hu;nl
Amszterdam ;Amsterdam ;hu;nl
áram ;stroom ;hu;nl
áramellátás ;stroomvoorziening ;hu;nl
áruház ;warenhuis ;hu;nl
autó (= kocsi) ;auto ;hu;nl
Autóval megyek dolgozni. ;Ik ga met de auto naar mijn werk. ;hu;nl
aztán ;daarna ;hu;nl
Először egyenesen megy, aztán balra fordul.;U gaat eerst rechtdoor, daarna gaat u links af. ;hu;nl
bal ;links ;hu;nl
a bal oldalon, balra fordul ;aan de linker kant, links af gaan ;hu;nl
bank ;bank ;hu;nl
barokk ;barok ;hu;nl
barokk templom ;Barokke kerk ;hu;nl
belváros (= városközpont) ;centrum (= stadcentrum) ;hu;nl
A belvárosban sok régi épület van. ;In het centrum zijn er veel oude gebouwen. ;hu;nl
bent ;binnen ;hu;nl
Bent vagyok. ;Ik ben binnen. ;hu;nl
benzinkút ;tankstation ;hu;nl
A benzinkúton vagyok. ;Ik ben bij het tankstation. ;hu;nl
beteg ;ziek ;hu;nl
Sopronban sok a külföldi beteg. ;In Sopron zijn er veel buitenlandse patienten. ;hu;nl
bevásárlóközpont ;winkelcentrum ;hu;nl
bicikli (= kerékpár) ;fiets ;hu;nl
Biciklivel járok a városban. ;Ik ga op de fiets naar de stad. ;hu;nl
biciklizik ;fietsen ;hu;nl
Amszterdamban lehet biciklizni. ;In Amsterdam kan je/men fietsen. ;hu;nl
biztonságos ;veilig ;hu;nl
A városom biztonságos. ;Mijn stad is veilig. ;hu;nl
bolt (= üzlet) ;winkel ;hu;nl
borozó ;wijnhuis ;hu;nl
buszmegálló ;bushalte ;hu;nl
A buszmegállóban vagyok. ;Ik sta bij de bushalte. ;hu;nl
büdös ;stinkend ;hu;nl
cukrászda ;banketbakkerij ;hu;nl
csend ;stilte ;hu;nl
A könyvtárban csend van. ;Er is/heerst stilte in de bibliotheek. ;hu;nl
csendes ;stil ;hu;nl
Csendes környéken lakom. ;Ik woon in een stille buurt. ;hu;nl
csütörtök ;donderdag ;hu;nl
csütörtökön ;op donderdag ;hu;nl
dél ;12 uur ‘s middags;hu;nl
Dél van. ;Het is 12 uur.;hu;nl
Délben ebédelek. ;Ik lunch om 12 uur.;hu;nl
délelőtt ;‘s morgens ;hu;nl
Délelőtt van. ;Het is morgen. ;hu;nl
Délelőtt tanulok. ;Ik leer ’s morgens. ;hu;nl
délután ;namiddag ;hu;nl
Délután van. ;Het is namiddag. ;hu;nl
Délután sportolok. ;Ik sport ’s middags. ;hu;nl
diszkó ;disco ;hu;nl
dönt ;beslissen ;hu;nl
Az utolsó magánhangzó dönt. ;De laatste klinker beslist (over …). ;hu;nl
dzsungel ;jungle ;hu;nl
ebédel ;lunchen ;hu;nl
Egy órakor ebédelek. ;Ik lunch om één uur. ;hu;nl
ebédszünet ;lunchpauze ;hu;nl
Délben van ebédszünet. ;De lunchpauze is om 12 uur.;hu;nl
egyéb ;ander ;hu;nl
egyéb névmások ;andere naamwoorden ;hu;nl
egyedül ;alleen ;hu;nl
Egyedül vagyok. ;Ik ben alleen. ;hu;nl
egyenes ;recht ;hu;nl
Egyenesen megy a Petőfi utcáig. ;U gaat rechtdoor tot de Petőfi straat. ;hu;nl
egyszer ;eenmaal ;hu;nl
egytagú ;één lettergreep ;hu;nl
egytagú szó ;één lettergreepwoord ;hu;nl
éjfél ;middennacht ;hu;nl
éjfélkor ;om middennacht ;hu;nl
élelmiszer ;levensmiddel ;hu;nl
élelmiszerbolt ;supermarkt ;hu;nl
élelmiszerellátás ;levensmiddelvoorziening ;hu;nl
életszínvonal ;levensstandaard ;hu;nl
magas/alacsony életszínvonal ;hoge/lage levensstandaard ;hu;nl
elfoglalt ;druk bezig, bezet ;hu;nl
Nagyon elfoglalt vagyok. ;Ik ben heel druk bezig. ;hu;nl
előadás ;voorstelling ;hu;nl
Egy előadásra megyek. ;Ik ga naar een voorstelling. ;hu;nl
először ;eerst ;hu;nl
Először egyenesen megy, aztán balra fordul.;U gaat eerst rechtdoor, daarna links af. ;hu;nl
emberi ;menselijk ;hu;nl
emberi jogok ;mensenrechten ;hu;nl
éppen ;net ;hu;nl
Marika éppen hozzád megy. ;Marika gaat net naar jou toe. ;hu;nl
épület ;gebouw ;hu;nl
erdő ;bos ;hu;nl
este ;avond ;hu;nl
Este van. ;Het is avond. ;hu;nl
Este színházba megyek. ;’s Avonds ga ik naar het theater. ;hu;nl
eszik vmit ;iets eten ;hu;nl
Az étteremben lehet enni. ;In een restaurant kan je/men iets eten. ;hu;nl
eszköz ;middel ;hu;nl
